Name,State,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
Oklahoma,OK,,,,,,,,,,,258657.0,790391.0,1657155.0,2028283.0,2396040.0,2336434.0,2233351.0,2328284,2559229,3025290,3145585,3450654,3751351,3959353
Oregon,OR,,,,,,,0.0,0.0,90923.0,174768.0,317704.0,413536.0,672765.0,783389.0,953786.0,1089684.0,1521341.0,1768687,2091385,2633105,2842321,3421399,3831074,4237256
Pennsylvania,PA,3737.0,1706.0,795.0,211.0,403.0,64.0,0.0,0.0,3521951.0,4282891.0,5258113.0,6302115.0,7665111.0,8720017.0,9631350.0,9900180.0,10498012.0,11319366,11793909,11863895,11881643,12281054,12702379,13002700
Puerto Rico,PR,,,,,,,,,,,,,1118012.0,1299809.0,1543913.0,1869255.0,2210703.0,2349544,2712033,3196520,3522037,3808610,3725789,3285874
Rhode Island,RI,948.0,380.0,108.0,48.0,17.0,5.0,0.0,0.0,217353.0,276531.0,345506.0,428556.0,542610.0,604397.0,687497.0,713346.0,791896.0,859488,946725,947154,1003464,1048319,1052567,1097379
South Carolina,SC,107094.0,146151.0,196365.0,258475.0,315401.0,327038.0,384984.0,402406.0,705606.0,995577.0,1151149.0,1340316.0,1515400.0,1683724.0,1738765.0,1899804.0,2117027.0,2382594,2590516,3121820,3486703,4012012,4625364,5118425
South Dakota,SD,,,,,,,,,11776.0,98268.0,348600.0,401570.0,583888.0,636547.0,692849.0,642961.0,652740.0,680514,665507,690768,696004,754844,814180,886667
Tennessee,TN,3417.0,13584.0,44535.0,80107.0,141603.0,183059.0,239459.0,275719.0,1258520.0,1542359.0,1767518.0,2020616.0,2184789.0,2337885.0,2616556.0,2915841.0,3291718.0,3567089,3923687,4591120,4877185,5689283,6346105,6910840
Texas,TX,,,,,,,58161.0,182566.0,818579.0,1591749.0,2235527.0,3048710.0,3896542.0,4663228.0,5824715.0,6414824.0,7711194.0,9579677,11196730,14229191,16986510,20851820,25145561,29145505
U.S. Virgin Islands,VI,,,,,,,,,,,,,,25346.0,22012.0,39467.0,51827.0,32099,62468,96569,101809,108612,106405,87146
Utah,UT,,,,,,,26.0,29.0,86786.0,143963.0,210779.0,276749.0,373351.0,449396.0,507847.0,550310.0,688862.0,890627,1059273,1461037,1722850,2233169,2763885,3271616
Vermont,VT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330551.0,332286.0,332422.0,343641.0,355956.0,352428.0,359611.0,359231.0,377747.0,389881,444330,511456,562758,608827,625741,643077
Virginia,VA,287959.0,339499.0,383521.0,411886.0,453698.0,431873.0,452028.0,472494.0,1225163.0,1512565.0,1655980.0,1854184.0,2061612.0,2309187.0,2421851.0,2677773.0,3318680.0,3966949,4648494,5346818,6187358,7078515,8001024,8631393
Washington,WA,,,,,,0.0,0.0,0.0,23955.0,75116.0,357232.0,518103.0,1141990.0,1356621.0,1563396.0,1736191.0,2378963.0,2853214,3409169,4132156,4866692,5894121,6724540,7705281
West Virginia,WV,4668.0,7172.0,10836.0,15169.0,17673.0,18488.0,20500.0,18371.0,442014.0,618457.0,762794.0,958800.0,1221119.0,1463701.0,1729205.0,1901974.0,2005552.0,1860421,1744237,1949644,1793477,1808344,1852994,1793716
Wisconsin,WI,,,,0.0,31.0,11.0,0.0,0.0,1054670.0,1315497.0,1693330.0,2069042.0,2333860.0,2632067.0,2939006.0,3137587.0,3434575.0,3951777,4417731,4705767,4891769,5363675,5686986,5893718
Wyoming,WY,,,,,,,,,9118.0,20789.0,62555.0,92531.0,145965.0,194402.0,225565.0,250742.0,290529.0,330066,332416,469557,453588,493782,563626,576851
United States,US,697681.0,893602.0,1191362.0,1538073.0,2009043.0,2487355.0,3204313.0,3953760.0,38558371.0,50155783.0,62947714.0,75994575.0,91972266.0,105710620.0,122775046.0,131669275.0,150697361.0,179323175,203211926,226545805,248709873,281421906,308745538,331449281
